,Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,Unnamed: 64
357506,Tuvalu,TUV,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
358947,Uganda,UGA,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
360388,Ukraine,UKR,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.976448181234,45.2874698653496,,,,,,,,13.840207954337899,24.8994141074509,29.9695556383217,27.482759496027303,33.7031001609632,37.0287155729123,63.6653191884884,70.25883762189821,71.8095454494004,,,,
361829,United Arab Emirates,ARE,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.89352238938485,,,,,,,
363270,United Kingdom,GBR,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.2033709452908,29.194896028495304,30.3997500632281,35.3135500060757,40.480088459948796,43.922334802073,43.628347359313096,44.9699407215277,46.21828751051311,42.7043795936305,42.607454381002704,38.4757419838365,39.4416769345902,39.34920324396371,42.7380526736801,44.1499304577755,43.6238366341836,44.653866478774006,55.2461081644424,68.9327025781826,81.6963569500982,95.25040607693529,99.2474541864522,95.1373344728072,106.21306319563601,105.15990434535802,114.972244759278,,,,
364711,United States,USA,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.128400199944004,40.933943570707,44.0615972806026,46.0501444176036,48.24614033355989,47.353482170743504,47.209535287088606,46.741768550010796,44.117469802418206,41.1291489381945,37.7292772729571,33.263120248676,15.1658484819226,53.831020656133006,56.2416463518739,56.678389676754506,56.5499612668647,55.47113683005261,55.745971470597,64.0622298869459,76.1779363289699,85.4642738610747,90.05478502150329,94.163413471203,96.0756025714402,96.37227069364019,96.8479213792285,99.01711453003941,,,,
366152,Uruguay,URY,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.5959630364015,24.590575759141103,23.6047773194107,21.8791430371302,24.5301880718095,,,,,,,40.6433348596506,95.2678607204109,105.602780852245,85.425594123742,76.1144597035528,69.02689635225529,58.512060533009205,57.25268251927879,49.2733292112123,44.2227017529432,45.351451221950704,43.4034504534076,42.740850997279296,44.357961352818,51.1864800205919,50.6849558753255,,,,
367593,Uzbekistan,UZB,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
369034,Vanuatu,VUT,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.966562398878196,,,,,25.778896388666396,23.814391588478,24.893760539629003,28.4022961014111,27.3040009250694,,,,,,,,,,,,,,,,,,,,,
370475,"Venezuela, RB",VEN,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
371916,Vietnam,VNM,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
373357,Virgin Islands (U.S.),VIR,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
374798,West Bank and Gaza,PSE,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
376239,"Yemen, Rep.",YEM,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
377680,Zambia,ZMB,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,244.38053643903302,277.530307986502,164.700753558863,161.786076869106,149.209889858483,155.279224614308,175.934490736564,150.072548942759,161.232157851948,,,,,,,,,,,,,18.049433275601302,23.4886020407775,24.224039436861702,44.396026635953795,49.40729987986771,,,,,
379121,Zimbabwe,ZWE,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
775,Arab World,ARB,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,,4.6321895939830595,5.25732333503369,3.8404640232811404,4.75989319165622,6.0754432748379195,5.86821205377298,5.978478238000599,7.35543162660008,8.42182811126416,8.26962252422471,8.03949628194486,7.55999215903695,8.056958470520849,,,,10.825016399616699,10.616076608806198,9.65391617466383,8.58612578916951,9.929214300702869,12.0795814489269,11.0701360027288,11.578740750052098,10.3074690932247,,8.422075950681359,8.06185146525038,7.7017471310079895,,11.4420385172153,8.657041373597291,7.8898750405829405,7.34362066718032,6.608234153122639,6.02522693423931,6.579345579819179,7.552514567522691,6.524255131278781,6.4194813721646495,6.41143507231159,5.88753575925411,5.463210240648269,5.07715789068978,4.6331975298648,4.38768214155662,4.525564190958661,4.19974085631657,5.32806803966144,5.04061185927229,4.91252091947198,5.005674998157139,5.758314043327099,6.34395433063043,7.36649944122787,6.087977630519591,6.38344779037446,5.64937211093433,,
2216,Caribbean small states,CSS,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,,,,,,,,,,,,,,,,,1.31764980634138,1.0715120654094399,,,,0.983419943001527,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3657,Central Europe and the Baltics,CEB,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.65971749300304,,2.74263492733564,2.54239822996778,2.2962990086232797,2.2283881151043197,2.36687818374302,2.2440199000939103,2.32899675792454,2.17035776791221,1.9520666602089598,1.8598777015385,1.8920898854381498,1.89529822626979,1.8605318899466499,1.75747295531982,1.78459684699635,1.70583138756881,1.66154657460325,1.52946177511427,1.53657496208193,1.4829301076333898,1.41659150601463,1.4045699232828999,1.37866686038677,1.41510607806191,1.5313037607623499,1.48184639872047,1.5238301665968201,1.6433971223108301,,
5098,Early-demographic dividend,EAR,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,2.35242396262908,2.23600448410502,2.65409334954386,2.90329272130133,2.82150899758677,3.0810864835528498,2.96373021583035,3.16239990804802,3.3568962036713303,3.53201211252985,3.8612362377387797,3.82928718613083,3.7797998032954596,3.7623839852933196,4.05019943647556,4.84209595020671,5.050449940236059,5.91528420516143,5.71341300898826,4.9962109089375994,4.50372689258116,4.7820054675798,5.461424553037079,5.15087102896291,5.0883439926862595,4.7197833494455,3.93414534208781,4.6137808412057,4.30536584509007,3.8690441096965498,3.6091614421740497,3.6090472738205,3.18883556673352,3.0176336488515,2.80570520664493,2.7653658301705804,2.65539685036282,2.78527355956361,2.8682802781818504,2.70812003540753,2.5770803947107797,2.57199770348838,2.56566330285027,2.51828400993843,2.4380160672045,2.37229840955464,2.3144832589029902,2.26973189375054,2.24246643040925,2.52019811196025,2.31505927628195,2.2226322733205803,2.3020086695612796,2.41165337780719,2.54450522780094,2.67180776681204,2.43404922038805,2.4317832082936603,2.34804967705677,,
6539,East Asia & Pacific,EAS,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,,,,,,,,1.64472010744183,1.59252155952447,1.49295871191637,1.4180911531458202,1.43250426100028,1.3718315812102402,1.2458882367753301,1.4158726020022199,1.46086589190602,1.66095484564484,1.67341654228286,1.5845287495498002,1.6566428677690903,1.74886817801831,1.7714583230556202,1.8591997646154,1.77249318252354,1.73145471208567,1.7208366725153998,1.5331195517858502,1.5110120495355002,1.47714014065746,1.58861647820822,1.60450623525749,1.56360208981503,1.5719877888473999,1.49206549237883,1.43857469926368,1.40229114620709,1.43675540796639,1.4499844555477899,1.41782998685543,1.41851340984755,1.3704577943006102,1.44492986602999,1.4885024556578401,1.4877185312460401,1.4697325760696598,1.48671632096369,1.52027471400051,1.53725656071028,1.54539624847343,1.65372737891201,1.5633591596443603,1.55355807664936,1.56191901018726,1.6260529393447802,1.67640186965094,1.71533816913068,1.70456923487802,1.68526726023516,1.66728242591763,,
7980,East Asia & Pacific (excluding high income),EAP,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.3940588287802003,2.36639803031533,2.2969979517589905,2.3442491566389,2.00042714583088,1.88726144221876,1.82719428033527,1.76655346899663,1.7410889216279501,1.6664839634381898,1.78993091743145,1.7160906272858198,1.87128273392676,1.94542702004605,1.92692307373841,1.86668437430049,1.79583759757974,1.78953661745162,1.76182960356007,1.7392045150929099,1.9025681703780701,1.73617730426817,1.6873481303808897,1.70457944089843,1.76165226154347,1.7900594256167501,1.81300646111505,1.82116478432769,1.78036087633566,1.7489337793686297,,
9421,East Asia & Pacific (IDA & IBRD countries),TEA,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.3940588287802003,2.36639803031533,2.2969979517589905,2.3442491566389,2.00042714583088,1.88726144221876,1.82719428033527,1.76655346899663,1.7410889216279501,1.6664839634381898,1.78993091743145,1.7160906272858198,1.87128273392676,1.94542702004605,1.92692307373841,1.86668437430049,1.79583759757974,1.78953661745162,1.76182960356007,1.7392045150929099,1.9025681703780701,1.73617730426817,1.6873481303808897,1.70457944089843,1.76165226154347,1.7900594256167501,1.81300646111505,1.82116478432769,1.78036087633566,1.7489337793686297,,
10862,Euro area,EMU,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,4.2214812488133,4.120593117931279,4.12987649902164,3.89966679083171,3.8004258857020004,3.6550470721734905,3.67546346998954,3.64424846505077,3.6017407941384603,3.3096975400807,3.0734883346132795,3.07158356542355,3.12038811300313,3.02798690566971,3.0498691838708503,3.09943033895738,3.0194659268930697,3.0287298407014704,3.00544608069695,2.97114839495624,2.9293393894568105,3.01680738618399,3.0525981979241097,3.02900001648079,2.9540826259841504,2.8971698290685497,2.8232261482190095,2.83009393575058,2.71143022752267,2.6021025437335297,2.52966758729894,2.32521551912045,2.20965558271341,2.14136646622635,2.05371577635582,1.9183740755429097,1.8982554207585702,1.85773539041475,1.8110712870420802,1.78923278571515,1.75234285609229,1.7019289258336001,1.68658547529298,1.68685976532711,1.67125338402059,1.62825716964666,1.57477844365318,1.52980174466793,1.5664607613028503,1.66352472746881,1.5890619502523602,1.5249708012069199,1.52035467990453,1.46442354206254,1.4199186403137698,1.4046706201137,1.42767909177445,1.45440270252873,1.4483799963257802,,
12303,Europe & Central Asia,ECS,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,4.636458607217,4.550626750315081,4.55235149259887,4.35500261917543,4.23696631586455,4.11818998867989,4.03686785199609,3.98218670843919,3.8527730682986303,3.56859454233131,3.29037243216253,3.27320838735484,3.3023291234191,3.1594657441421603,3.18356262671166,3.2962866311613195,3.2035866914107003,3.18136633655039,3.1267805631304997,3.09102389350083,3.1154670365414603,3.19233992161016,3.2758977034571,3.24377690443546,3.1820503704574197,3.12949651009111,3.00154626360304,2.9658609694672697,2.82937834721235,2.73804315366862,2.67085601529666,2.52593780513167,2.49617767337687,2.38369132586423,2.3000513819448702,2.10525773771429,2.07832574073201,2.0655237962174198,1.9490904155183997,1.9258918897870099,1.89877093672459,1.8663853469556901,1.88657968125434,1.8740589158218401,1.8313367697987801,1.79987079103816,1.7627831479766298,1.73742958053319,1.76705022334393,1.87932872236452,1.8215528944107402,1.7705627933932702,1.80890304390221,1.77192270605876,1.73097641177053,1.71853756167074,1.7446693882013402,1.7029508961984,1.70393151068486,,
13744,Europe & Central Asia (excluding high income),ECA,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,3.5315712187958903,3.76454293628809,3.71108343711083,3.3873390557939906,3.42246520874751,3.5544186046511603,3.14398111723053,3.2595744680851095,3.27555555555556,3.07933789954338,3.25648854961832,3.49979381443299,3.4455205811138,3.34945054945055,3.19302137958854,5.119453924914679,4.943027210884349,4.7136230237621906,4.1873064036917595,3.35725855800727,3.9003132966796703,3.82453186997909,4.29815131212686,3.93760520546007,3.6727844049385796,3.58922855806602,3.6915726109774702,,,,,,4.15587823884269,3.58573717953635,3.9385818582950898,3.4503263670652697,3.50311596863684,3.7486611904035403,2.86497169637232,3.21933019807434,3.2224898570570497,3.2410838827690296,3.3833650414728798,3.16407567279361,2.8135862558668197,2.7465218455523197,2.7293978451446597,2.6385752450375497,2.62602758253388,3.0247347698041898,2.82002706340551,2.7389918613211,2.90517643191157,2.9527843558203197,3.04757423702236,3.2638179309914,3.53032653954374,3.0629928473028203,3.08994997797475,,
15185,Europe & Central Asia (IDA & IBRD countries),TEC,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,3.5315712187958903,3.76454293628809,3.71108343711083,3.3873390557939906,3.42246520874751,3.5544186046511603,3.14398111723053,3.2595744680851095,3.27555555555556,3.07933789954338,3.25648854961832,3.49979381443299,3.4455205811138,3.34945054945055,3.19302137958854,5.119453924914679,4.943027210884349,4.7136230237621906,4.1873064036917595,3.35725855800727,3.9003132966796703,3.82453186997909,4.29815131212686,3.93760520546007,3.6727844049385796,3.58922855806602,3.6915726109774702,,,,,,3.9220961667782097,3.46159739062066,3.7046883299771203,3.3599096196527998,3.3632713262801497,3.5950310552034503,2.80829152165244,2.9789073179149503,2.9459098582779104,2.9425074814007997,3.07455783764473,2.9128240584722502,2.63595527382944,2.59890396982658,2.59259877627481,2.5314856104459,2.49096210076725,2.82269661033911,2.66906922155521,2.60949575093521,2.7674674327060496,2.8075148506727703,2.8899117012575495,3.08556319396767,3.2736995495491406,2.8776025560482204,2.90277008118204,,
16626,European Union,EUU,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,4.181616559199391,4.0850406682475695,4.1067100697092,3.90535434706675,3.80597165106973,3.6769000722543197,3.6528776620502503,3.6032107778129,3.55916432933545,3.28848157049262,3.07315809306128,3.07211296436733,3.11204045998699,3.01361882633189,3.03758930748616,3.08089858690448,2.99707943748596,3.0111215990438303,2.99276519224606,2.95978056548053,2.9162861985597597,3.0005478579287006,3.0296154814555902,3.00158047644081,2.9246269034649996,2.86779753051194,2.79170823999552,2.8126395531214903,2.7038779963275403,2.61139671564224,2.53614816897103,2.3328050919523196,2.2202014858241697,2.15161288586468,2.06334629468296,1.9421664018636298,1.9186165406047901,1.88379138917402,1.83450014810358,1.8019248635474598,1.75952853142288,1.71274241797872,1.69640911015143,1.69143282333372,1.66572688734158,1.62701649420598,1.57284712870906,1.52986149194835,1.54705905032389,1.6335401542168302,1.56651108969872,1.5018897610883502,1.4984762498456698,1.44505923797273,1.4089946638480801,1.4019879746733799,1.4149404506576397,1.44038367498333,1.44744550881365,,
18067,Fragile and conflict affected situations,FCS,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,3.11584948030588,2.29776786730928,3.0896338528455494,,2.78060299835544,2.7014917355611097,1.99100435687318,3.9058974123178705,4.72029443217436,5.24071086331395,4.1332519693914405,3.8156723103911,4.2418735410471,4.37580479558268,4.46011881635717,5.71239054107081,5.09952224125134,4.887911080577401,4.58135177228554,4.1678893818122,4.16101271922764,4.01102505325676,3.1817698161809598,3.6270019676401204,3.6412492741084304,2.98774602461979,2.9565539787383903,2.40877427713591,2.27618420607041,,,2.73126196460159,2.5505981149504597,2.9988007176228,2.51042259701059,2.10870913402942,1.8634947493855403,2.2582684204916497,2.3755958362039102,2.36128492018671,2.17245247106018,2.1594353687313204,2.13363007200951,1.93415326844142,1.8870777626867399,1.7992707699750599,1.71009344032474,1.7930330752105301,1.8039856867698,1.78670064559093,1.38993215409504,1.44459863202428,1.6086068231783401,2.03582554996014,1.87480849029022,2.10249568132594,1.89926619977905,2.09167877599649,1.67265711285574,,
19508,Heavily indebted poor countries (HIPC),HPC,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,,,,,,,,,,1.56367352072772,1.6584135060834098,1.6447818310463997,1.64924326393272,1.4711695120331099,1.46116830890582,1.5481753557176399,1.7143231075113503,1.6045586805656,1.4909092195326998,1.7225835891015,2.07769009459131,2.6739791247528504,2.5743523158133104,2.6557173336567,2.8298020372108,2.69051086334297,2.92667236098037,2.6988049902274702,2.9229381214660197,3.0000125810489,3.1246982860352897,2.6463316925085296,2.20251741460382,2.38749822675094,1.9602739036103898,1.60105031535032,1.5469919176048796,1.55937739192832,2.20604599625189,2.44596414373702,2.11527980407807,1.9793957087594598,1.87740070485943,1.65773206693916,1.92661898773626,1.7075938301389098,1.7809411450718897,1.9923063466166397,2.01257510126851,2.04347230672928,1.41970233253134,1.34550476118448,1.22660024904847,1.2924306218628898,1.3340269584628601,1.47057207562372,1.5320147353554,1.6665282000688402,1.26382454147075,,
20949,High income,HIC,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,6.7526041201942695,6.72379834470189,6.79249362516819,6.38609315199427,5.8728664709628,5.53630231159015,5.960659680847059,6.44357422212497,6.300046797424231,5.819470702914879,5.131639195952361,4.59664796612838,4.33728478214158,3.9289081693196897,3.9289277191536303,3.82446662391915,3.63261892240623,3.7452547312583304,3.56293907199849,3.58223837494513,3.6708236556096203,3.9639186840042298,4.55822295139795,4.31157894390162,4.29037138551138,4.34805318162731,3.96282803614178,3.82309417773409,3.56546184460024,3.48164702176504,3.38196152690117,3.0778370413069203,2.9754039115143995,2.81598526720212,2.61039248364934,2.38995692352682,2.32742115411818,2.33479721842538,2.2955276266659905,2.21194758165419,2.21272492887017,2.23809859631338,2.3497725530179103,2.43310667597566,2.44910829792012,2.47101773602916,2.44816478944305,2.4257825948457796,2.5265450076715097,2.77773416932512,2.7384113968841897,2.64882861441239,2.58094669883384,2.4716693047463303,2.3905122300001804,2.38746167030508,2.3056708430615402,2.27886280471159,2.2780081613834504,,
22390,IBRD only,IBD,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,,2.1010402821589698,2.48431638563584,2.74420470933222,2.6194046756671296,2.88335287762111,2.7051705497666503,2.7672979419950896,2.8158328594352997,2.88256572768125,3.0785334720956303,3.18314521959605,2.9964095021442803,2.7763074818034603,3.2428465741400294,3.78833381212581,3.9575168044087796,3.8652061821525496,3.6154597735652994,3.009098402901,2.73706844735256,3.0262968280374505,3.09869591136423,3.17482748075348,2.9572376076282696,3.00152503132836,3.08441476838093,3.14140140258273,,2.79951339008784,2.5028048754540295,2.20760493082557,2.42506927272385,2.2566716900675603,2.22393521433802,2.17796882006432,2.09709803338337,2.0900486766119797,1.94610534868573,2.00328940519007,1.92952631262301,2.01391498761356,2.0641955828222702,2.0277625627998104,1.97307147781147,1.95779694557855,1.93484285426579,1.9044320083774702,1.9249357040217099,2.10731703060878,1.9626102380473402,1.89573288439149,1.9294537582746598,1.97771567052755,1.9965104971747198,2.01095464040373,2.02869475081965,1.96362908836198,1.91164138483211,,
23831,IDA & IBRD total,IBT,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,,,2.50980009739844,2.66584733466786,2.57842863115651,2.90563553903458,2.7030713659045,2.8962805125123503,2.96986665058821,3.0810954188180797,3.1896206630693,3.24050595798521,3.11201838162485,2.8453965569214796,3.23135316103011,3.85635157143449,3.99101939425528,3.89836792071257,3.65757823682755,3.1099466853026896,2.8813236285745,3.10350950577437,3.17409335881149,3.27199472473961,3.09927680509605,3.09355479320023,3.1503728421437,3.14986151848656,3.0155072589519,2.83790898339943,2.5656333220674803,2.30073284714893,2.4726529191336,2.31901701916031,2.2601457712403796,2.20295679082227,2.12051352280859,2.10734855807868,1.98350796063311,2.042752603079,1.9527888742837,2.0253691213351597,2.0764249444536103,2.02848883532709,1.97782317857478,1.94994332829645,1.9220642548417,1.89700875780395,1.9120609634567698,2.08604269572807,1.93745088996134,1.87593551270448,1.9086906423688603,1.95025993439712,1.96538114548723,1.98339603124018,2.00299351743983,1.9488717895603302,1.8959395809205,,
25272,IDA blend,IDB,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,2.3923456695628302,2.39503196034296,2.28179319544337,2.1119538453758704,2.33464421590372,3.23619021030575,3.50460680541367,4.8399548507758094,5.80725950018428,6.59538706626231,4.97280239623617,4.80394493465033,5.020657289320599,4.6849371582505706,4.20567799352686,6.26220965302688,5.18579091084362,5.387281471869769,5.1242325585185995,4.6084007678395,3.86163852234515,3.21061058502289,3.09343690240309,3.30924683859806,3.1123872208591803,2.9772556747146406,3.1871010486415203,3.1601225730936497,3.3136128203391,3.30261070675274,3.1419019945654396,3.2650273368508103,3.2845828154069703,3.68214589817754,3.1439766804152502,2.94399074791733,2.8866915666602897,2.6843492692667903,2.71909219756565,2.58689052627166,2.17474592814267,2.08237753079286,2.21889290391336,1.9493839882476203,1.87778954061806,1.6715896367489698,1.52270847811054,1.47506622663115,1.46655466828215,1.4740382970350099,1.4373108494628,1.4491514000209702,1.4551930434569198,1.4022439442385501,1.36490848921356,1.47228969948623,1.6714375348315502,1.7812473836843798,1.94913749318865,,
26713,IDA only,IDX,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,,,,,,,,,,,,,,2.32500876703743,2.27510927891429,2.707878954642,3.2041184100229003,2.9257511424897005,2.87930940249211,3.02337145741921,4.06438647319843,4.1421247160004695,4.647271263368349,4.83329384752327,5.23551865751704,4.5804581271049,4.05307159072685,3.2573903288476096,3.1179820836746903,3.1385395763311297,3.2499434368965296,3.2648286310762202,2.86315035235793,2.82398478829799,2.52222581794932,2.2383606597783,2.07786555276074,2.08503665825621,2.47693311284981,2.63496448963907,2.35866736909652,2.2920948445642404,2.26356449798623,2.11784782034576,2.18761669628616,2.0116488611956598,2.01285334059967,2.1461417801133202,2.0124135578755302,2.0648301118607,1.6243629643661601,1.6356914686126203,1.70905060168309,1.67727810194019,1.6733430669362899,1.7382221440848202,1.61047651775845,1.6944563521755298,1.40765845571047,,
28154,IDA total,IDA,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,,,,,,,,,,,3.87455255452946,3.64001027658149,3.9336085373292202,3.3313425917495696,3.15116425042524,4.25690543715916,4.20904257094689,4.12222552493111,3.942625231673,3.79983128272352,3.94880450741782,3.4962616225864203,3.57713731038359,3.88440806948004,4.03782899819917,3.6993329395418,3.62062401942892,3.20955990559381,3.21265328487685,3.2213979411835294,3.1988051149740695,3.26492162813535,3.0663245065436806,3.1811856067952298,2.8211664181074703,2.59762395818866,2.47438875902578,2.37393286582585,2.5902758284992298,2.6114729293404104,2.27263429514311,2.1894524913912,2.2411671787348597,2.0378278906147798,2.04010886671884,1.8435018978811202,1.7497839318567199,1.78858163511105,1.7226345904541498,1.76634823584871,1.5206914613414402,1.53198842943957,1.57315663097695,1.53203079213117,1.5085015562449,1.60389613832953,1.63964815586292,1.7339999003633702,1.66996047144354,,
29595,Late-demographic dividend,LTE,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.2701295876578502,3.18214039306467,2.79328371674498,2.6992102999405403,2.42852038954763,2.32111222205375,2.3366541176968996,2.18540773532914,2.27177060177329,2.30254845787211,2.40481438771248,2.4269611223034797,2.3199251128003398,2.2277135972794198,2.1684328393589802,2.1317087510568,2.091038783928,2.0940489041178503,2.28708828798233,2.15416897866626,2.08744308562484,2.13617195482762,2.17429708469595,2.1838832306006797,2.12393800416758,2.15552120842771,2.05428994848032,2.01054716094192,,
31036,Latin America & Caribbean,LCN,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,2.14511167899218,1.83267347107459,2.21414608594204,1.9919652297430601,1.7028889394942701,1.94725145966928,1.90674726792701,2.05544853352303,1.8540811744253898,1.8678064465309,2.0877433663502902,2.2140647280817203,2.14306693248544,2.07217807975458,1.93115447747589,1.9407417092391899,2.1262157547807603,2.20901383793893,2.09079784406161,1.9650481148782502,1.61215257184439,1.6640796504971498,1.83560112200378,1.91388879419794,1.66974319652399,1.63316164358652,1.6228221620996202,1.79282473536408,1.8215068158312802,2.05256388067662,1.7381456369430301,1.55187033610603,1.3228998510988998,1.40902086746921,1.47601650576246,1.59453034397564,1.5147212418062,1.37245423065164,1.40653750327858,1.32843120002033,1.28382922822066,1.31653919385548,1.23742098894985,1.1589733668713,1.14570888340145,1.22775617807945,1.22637297208305,1.2520328553844098,1.29475313163096,1.4040097189714797,1.37616661898687,1.2958599216976499,1.32186353005201,1.3343770867387,1.29454668339297,1.28185191083666,1.23885302904246,1.25955642204849,1.25599736058415,,
32477,Latin America & Caribbean (excluding high income),LAC,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,2.060390219691,1.6756832880719599,2.15905859025807,1.93149629392506,1.64152892290932,1.88975098987914,1.85231236991799,2.0136735952644598,1.8216902078793502,1.85032430790813,1.94861103488717,1.9501181165526598,1.86099735572274,1.75869973628793,1.6490628106256398,1.8221106057812602,2.01855243226909,2.05225361499723,1.9316697475792801,1.78548160382078,1.36905012787233,1.3782875141638202,1.5378807116504898,1.70906261676089,1.4695336789948503,1.47659758786937,1.4710962767295301,1.65914099736444,1.7312982966366899,1.9867656758689902,1.6729143760146898,1.50918218789753,1.2593215943176201,1.35381842125246,1.42941179743086,1.5432313950525303,1.46373740471939,1.31476576603477,1.35172066413947,1.2600521620344098,1.22464974859903,1.2694283654555,1.18993337007147,1.09976360390051,1.07700832486571,1.17126742718241,1.16630924911446,1.20759193135027,1.24755436494687,1.37572075271875,1.34494231907129,1.26008761201457,1.29549466149901,1.3110654106108899,1.27381131128003,1.26024286845871,1.2102466760794,1.23076258472581,1.22684693578669,,
33918,Latin America & the Caribbean (IDA & IBRD countries),TLA,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,2.14511167899218,1.83267347107459,2.21414608594204,1.9919652297430601,1.7028889394942701,1.94725145966928,1.90674726792701,2.05544853352303,1.8540811744253898,1.8678064465309,2.0877433663502902,2.2140647280817203,2.14306693248544,2.07217807975458,1.93115447747589,1.9407417092391899,2.1262157547807603,2.20901383793893,2.09079784406161,1.9650481148782502,1.61215257184439,1.6640796504971498,1.83560112200378,1.91388879419794,1.66974319652399,1.63316164358652,1.6228221620996202,1.7928247353640903,1.8215068158312802,2.05256388067662,1.7381456369430301,1.55187033610603,1.3228998510988998,1.40902086746921,1.47601650576246,1.59453034397564,1.5147212418062,1.37245423065164,1.40653750327858,1.32843120002033,1.28382922822066,1.31653919385548,1.23742098894985,1.15897336687129,1.14570888340145,1.22775617807945,1.22637297208305,1.2520328553844098,1.29475313163096,1.3741355162094098,1.3517360513216001,1.27480586543362,1.28952902342601,1.3066979048818101,1.26533837444962,1.2496142058531499,1.2035668326250502,1.23002856984885,1.25599736058415,,
