,Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,Unnamed: 64
59219,South Asia (IDA & IBRD),TSA,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.8663442156202,54.1099064228895,53.5709823272455,55.8751386077112,51.08700535699371,49.0601946714798,47.2893333608364,51.495832169866105,54.4045012820036,52.754909718276394,58.12587920086099,58.363226638292105,61.646753284992,61.1820360352106,63.7297325481682,62.968676689099105,60.42863372561979,58.1654124459669,57.137425615531704,56.1829462788648,52.04159171569199,52.1680532110275,51.246960484272,50.9779050508461,,,,,,,
60660,Sub-Saharan Africa,SSF,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62101,Sub-Saharan Africa (excluding high income),SSA,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63542,Sub-Saharan Africa (IDA & IBRD countries),TSS,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64983,Upper middle income,UMC,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66424,World,WLD,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67865,Afghanistan,AFG,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69306,Albania,ALB,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.7569039092832,37.4810503903393,53.1077864994122,55.5656446651293,,,,,,,,,,,,,69.637669633181,63.6691535959585,70.58078809000521,73.32024691984292,79.8644448747259,80.73557483969229,,,,
70747,Algeria,DZA,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72188,American Samoa,ASM,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73629,Andorra,AND,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75070,Angola,AGO,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76511,Antigua and Barbuda,ATG,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77952,Argentina,ARG,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79393,Armenia,ARM,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80834,Aruba,ABW,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82275,Australia,AUS,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.2531601688725,11.9432153214405,14.173373733547999,17.907711044453002,20.225782972666,21.736387587526103,21.8677442527374,20.9115580839596,16.9103056128496,31.1495288974604,29.590461598496,0.027812999066753996,0.0259859755281053,0.025182281262485,0.0229722463210145,0.0225072123906758,0.021647280792429,0.0203203959532226,0.0183978262365233,0.0240607231707462,0.0292573610275351,0.0305868467382266,0.0399077533348717,0.0380392720986105,0.042207528166503,0.0469480198522591,0.05464848252016901,,,,
83716,Austria,AUT,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85157,Azerbaijan,AZE,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.57653797474662,6.29501240116287,6.385575791828559,,,,,,,,,,
86598,"Bahamas, The",BHS,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.418825015792798,27.976703223235102,30.6304277902863,34.4340232858991,34.8665234734581,33.9982502187227,34.2227763923525,21.7237964992515,20.9517328580084,19.6411443712608,18.7520042790972,,,,,,23.470230396616603,23.2550473991226,25.4503135094053,30.9034598415542,33.6865674302876,35.2808662969381,36.432013432209295,44.39458661137779,47.2672793747079,48.11951703070889,51.420743148160604,,,,
88039,Bahrain,BHR,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.727364185110659,16.3795586794953,21.299820868786398,19.347414718969,17.8800029674213,16.986451622554,15.813102724713499,16.9605823750437,21.164681088985397,23.6915052697933,25.745014892961397,27.1047836328351,28.3796671065326,32.4533576041094,29.3985591955441,,,,,,,,,,,,,,,,
89480,Bangladesh,BGD,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.4618431575804,31.863991518402,31.2044521104432,,,,,,,,,,,,,,,,,
90921,Barbados,BRB,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.518181138223895,62.367175166572196,66.8267880702672,71.1698160750729,86.8766741796331,95.72615827054041,100.24623383546101,112.77361867301701,120.479934109977,129.629591844133,141.413895259761,,,,,
92362,Belarus,BLR,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.7608695652174,5.18781725888325,75.95571292081159,16.8800606245315,11.5201288580528,12.1714690728675,20.180542639081303,15.103117448936999,15.0144518163306,11.440616774975,12.3366860124798,,,6.570220587670269,6.64440183178372,8.9092608163614,10.656634368537699,18.5574619808712,18.905245726907,39.4168108447656,24.429313423056698,23.837295555239102,24.548726264211602,37.5981780556757,39.960153098796,,,,
93803,Belgium,BEL,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95244,Belize,BLZ,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.129049442904,28.643480206399197,32.960172244819,35.3265313139531,37.167497297558796,36.3108902435642,38.8322873137738,,,,,,67.2689137874747,87.99892323511509,103.990894700597,92.2046769407398,87.6608387511472,84.74145234498471,78.79586313315959,82.1112290694213,81.3283086891368,78.2532745143923,76.96350132538909,78.77607656077281,78.4811739351877,,,,,,
96685,Benin,BEN,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98126,Bermuda,BMU,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99567,Bhutan,BTN,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.1880192526389,47.465351296008606,45.4804885550539,39.3324210003702,32.9392012291965,27.089881487670002,36.299846850237,30.740874722337605,29.969266259208002,34.3907413132198,40.4803750303948,72.20845391402021,58.1222739320629,70.8373493272994,77.4580225750137,81.7226195380408,76.8295072926647,64.2885744276336,61.9120647889297,58.1908237396587,56.211831261656705,64.0467185479921,74.24221224202,98.4448853314728,93.1103346272068,93.9692283163393,110.676901035735,,,,
101008,Bolivia,BOL,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.171723956810204,57.411379214187,47.8828063678676,46.5365055204049,47.0751922918139,56.2575827502911,60.109197856159604,68.339852256336,,,,,,,,,,,,,,,,,,,
102449,Bosnia and Herzegovina,BIH,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.83469428691689,49.0902631535795,,,,52.86811468780439,,,,
103890,Botswana,BWA,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.371103249271501,12.1168020575228,12.5321505732804,12.4450599461028,12.042397635247399,10.972076070214,11.156755549212198,,,,,,,,,,5.89360961421408,5.74118725017073,7.847308972640421,18.9731164738468,21.630688536511997,20.743179430808198,19.945550294908,18.2124296664286,17.445359709721902,17.9091592446388,15.235498922983,,,,
105331,Brazil,BRA,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.9523563420216,62.4516834896092,60.6559304867725,63.807827429885705,61.3187804611479,59.3416718609879,59.8494899958247,57.228409380258,58.4572711058609,67.53755402771161,73.41880380967591,,,,
106772,British Virgin Islands,VGB,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108213,Brunei Darussalam,BRN,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
